index,timestamp,metric_value,checks
227761,627.0,3269.398446,1.0
227775,627.0,3224.143874,1.0
227789,627.0,1525.478505,1.0
227803,627.0,3282.399722,1.0
227817,627.0,1596.506564,1.0
227831,627.0,3197.199962,1.0
227845,627.0,2997.763443,1.0
227859,627.0,1628.729659,1.0
227873,627.0,1441.871986,1.0
227887,627.0,3187.601448,1.0
227901,627.0,3330.408709,1.0
227915,627.0,1430.21627,1.0
227929,627.0,1468.612112,1.0
227943,627.0,1541.854151,1.0
227957,627.0,3315.54774,1.0
227971,627.0,1467.83172,1.0
227985,627.0,1460.421447,1.0
227999,627.0,3228.617064,1.0
228013,627.0,1473.665882,1.0
228027,627.0,1588.374861,1.0
228041,628.0,1427.535456,1.0
228055,628.0,3267.478006,1.0
228069,628.0,1420.148184,1.0
228083,628.0,1523.275942,1.0
228099,628.0,1501.287927,1.0
228113,628.0,1515.581237,1.0
228127,628.0,1510.303108,1.0
228141,628.0,3160.705932,1.0
228155,628.0,3262.571494,1.0
228169,628.0,1517.887958,1.0
228183,628.0,3327.778079,1.0
228197,628.0,3217.561703,1.0
228211,628.0,1438.359117,1.0
228225,628.0,3148.290482,1.0
228239,628.0,3083.751057,1.0
228253,628.0,3289.413136,1.0
228267,628.0,1496.34817,1.0
228281,628.0,3151.045333,1.0
228295,628.0,3244.838607,1.0
228309,628.0,3213.421975,1.0
228323,628.0,3403.760635,1.0
228337,628.0,3422.251572,1.0
228351,628.0,1402.494524,1.0
228365,628.0,1451.153727,1.0
228379,628.0,3378.801601,1.0
228393,628.0,3133.036423,1.0
228407,628.0,3235.605536,1.0
228421,628.0,1470.067634,1.0
228435,628.0,2948.553395,1.0
228449,629.0,2982.893292,1.0
228463,629.0,1562.614989,1.0
228477,629.0,1431.241663,1.0
228493,629.0,3170.896199,1.0
228507,629.0,1567.841977,1.0
228521,629.0,1554.808508,1.0
228535,629.0,1512.165639,1.0
228549,629.0,3036.468573,1.0
